obvod,číslo,název,poř. číslo,"příjmení, jméno",tituly,věk,navrh. strana,polit. přísl.,abs.,v %,pořadí,mandát


3,2,NEZÁVISLÍ,3,Adamíková Alena,PhDr. ,45,NEZ,BEZPP,481,14.87,2, 
4,8,Křesť.demokr.unie-Čs.str.lid.,7,Andresová Stanislava,PhDr. ,54,KDU-ČSL,BEZPP,566,9.49,6, 
2,1,Strana zelených a Šance pro Ol,1,Andrš Pavel,MUDr. ,38,SZ,SZ,761,15.85,1,*
3,9,Česká str.sociálně demokrat.,5,Augustin Radek,Mgr. ,25,ČSSD,ČSSD,953,10.98,3, 
3,1,Občanská demokratická strana,5,Bačík Petr,Ing. ,27,ODS,ODS,928,11.24,3, 
4,9,Unie svobody-Demokratická unie,8,Bank Ladislav,RNDr. ,62,US-DEU,BEZPP,169,10.94, , 
1,2,Občanská demokratická strana,6,Banková Jaromíra,MUDr. ,51,ODS,ODS,1 311,11.18,3, 
3,9,Česká str.sociálně demokrat.,9,Bartal František, ,62,ČSSD,ČSSD,759,8.75,7, 
4,3,Česká str.sociálně demokrat.,4,Baslerová Eva,PhDr. ,53,ČSSD,ČSSD,1 051,11.82,2, 
5,9,"BLOK PRO OBČ.-koalice RMS,SŽJ",3,Bednaříková Naděžda, ,52,SŽJ,BEZPP,26,20.31, , 
3,2,NEZÁVISLÍ,6,Benčík Juraj, ,40,NEZ,BEZPP,259,8.01,5, 
1,2,Občanská demokratická strana,9,Benedikt Jaromír,Ing. ,33,ODS,ODS,1 151,9.81,6, 
3,1,Občanská demokratická strana,7,Beneš Radovan, ,36,ODS,ODS,847,10.26,5, 
2,11,Unie svobody-Demokratická unie,5,Bič Richard, ,50,US-DEU,US-DEU,141,8.53, , 
3,2,NEZÁVISLÍ,9,Blaha Ludvík, ,52,NEZ,BEZPP,243,7.51,8, 
1,1,Komunistická str.Čech a Moravy,3,Blaťáková Jarmila,PaedDr. ,53,KSČM,BEZPP,701,11.62,1, 
3,9,Česká str.sociálně demokrat.,3,Boková Danuše, ,62,ČSSD,ČSSD,963,11.10,1, 
5,3,NEZÁVISLÍ,2,Bosáková Edita,PhDr. ,36,NEZ,BEZPP,360,15.50, , 
2,2,Křesť.demokr.unie-Čs.str.lid.,2,Brabcová Jitka,Ing ,41,KDU-ČSL,KDU-ČSL,410,12.53, , 
4,5,Strana zelených a Šance pro Ol,7,Bradáč Daniel, ,24,NK,BEZPP,405,9.82,6, 
5,6,Komunistická str.Čech a Moravy,6,Bránka Karel, ,50,KSČM,KSČM,693,10.94,4, 
1,2,Občanská demokratická strana,8,Brom Miloš, ,71,ODS,ODS,1 183,10.09,5, 
1,8,Česká str.sociálně demokrat.,9,Bršťáková Jana, ,20,ČSSD,ČSSD,811,9.31,7, 
5,3,NEZÁVISLÍ,4,Břečková Jarmila,Mgr. ,50,NEZ,ČSNS,204,8.78, , 
4,6,"BLOK PRO OBČ.-koalice RMS,SŽJ",2,Březovský Vladimír,Ing. ,37,RMS,BEZPP,47,30.92, , 
1,11,Unie svobody-Demokratická unie,3,Buriánek Michal,RNDr. ,44,US-DEU,US-DEU,373,13.03, , 
