obvod,číslo,název,poř. číslo,"příjmení, jméno, tituly",věk,navrh. strana,polit. přísl.,abs.,v %,pořadí,mandát


3,10,NEZ.DEMOKRATÉ(předs.V.Železný),1,Adamíková Alena PhDr.,49,NEZ/DEM,NEZ/DEM,125,"19,44",-,-
3,2,Moravané,2,Akrap Marek,29,M,BEZPP,46,"27,38",-,-
1,10,Republikáni Miroslava Sládka,4,Ander Alexandr,60,RMS,BEZPP,9,"12,32",-,-
1,4,SPOLEČNĚ PRO OLOMOUC,8,Ander Josef Ing.,36,NK,BEZPP,235,"9,21",-,-
2,6,Občanská demokratická strana,6,Bačík Petr Ing.,31,ODS,ODS,2 217,"11,20",2,-
3,1,Republikáni Miroslava Sládka,4,Bačíková Jiřina,46,RMS,RMS,18,"14,87",-,-
1,6,"Koalice SOS, SNK ED, Z",7,"Bačovský Jaroslav Doc. MUDr. CSc.,",52,"""Z""",BEZPP,316,"11,28",-,-
2,8,Moravané,4,Baďura Milan,35,M,BEZPP,40,"16,52",-,-
4,2,SPOLEČNĚ PRO OLOMOUC,2,Balej Petr PhDr.,44,NK,BEZPP,384,"12,30",-,-
1,4,SPOLEČNĚ PRO OLOMOUC,9,Balejová Aneta,22,NK,BEZPP,230,"9,01",-,-
4,3,Česká str.sociálně demokrat.,2,Baslerová Eva PhDr.,57,ČSSD,ČSSD,1 265,"11,58",3,*
2,6,Občanská demokratická strana,8,Bednářová Romana Dagmar,34,ODS,ODS,2 085,"10,54",4,-
3,10,NEZ.DEMOKRATÉ(předs.V.Železný),5,Benčík Juraj,44,NEZ/DEM,BEZPP,53,"8,24",-,-
3,10,NEZ.DEMOKRATÉ(předs.V.Železný),2,Beran Vladimír Ing.,44,NEZ/DEM,NEZ/DEM,66,"10,26",-,-
1,8,NEZ.DEMOKRATÉ(předs.V.Železný),6,Bezdíček Josef Ing.,43,NEZ/DEM,BEZPP,43,"7,93",-,-
2,4,Strana zelených,6,Bílý Petr Bc.,32,SZ,BEZPP,339,"10,41",-,-
3,10,NEZ.DEMOKRATÉ(předs.V.Železný),4,Blaha Ludvík,56,NEZ/DEM,BEZPP,74,"11,50",-,-
1,1,Komunistická str.Čech a Moravy,2,Blaťáková Jarmila PaedDr.,57,KSČM,KSČM,598,"11,90",1,-
3,9,Česká str.sociálně demokrat.,8,Boková Danuše,66,ČSSD,ČSSD,1 111,"10,32",5,-
2,7,Křesť.demokr.unie-Čs.str.lid.,1,Brabcová Jitka Ing. Ph.D.,45,KDU-ČSL,KDU-ČSL,487,"13,07",-,-
2,9,NEZ.DEMOKRATÉ(předs.V.Železný),1,Brázdil Milan MUDr.,43,NEZ/DEM,NEZ/DEM,193,"32,05",-,-
2,9,NEZ.DEMOKRATÉ(předs.V.Železný),8,Brázdilová Pavla Mgr.,43,NEZ/DEM,BEZPP,73,"12,12",-,-
1,5,Strana zelených,6,Brnák Milan Ing.,54,SZ,BEZPP,351,"10,09",-,-
1,9,Občanská demokratická strana,7,Brom Miloš,75,ODS,ODS,1 990,"10,65",2,-
3,9,Česká str.sociálně demokrat.,5,Bršťáková Jana Ing.,24,ČSSD,ČSSD,1 225,"11,38",2,-
