číslo,název,poř. číslo,"příjmení, jméno, tituly",věk,navrh. strana,polit. přísl.,abs.,v %,pořadí,mandát


4,Patrioti PRO Olomouc,42,Abšnajdr Viktor,41,NK,BEZPP,235,"1,75",-,-
13,ANO 2011,17,Adamíková Alena PhDr.,57,ANO,BEZPP,5 808,"2,33",5,-
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",23,Alka Ladislav,58,SPR-RSČMS,BEZPP,81,"2,08",-,-
2,Strana svobodných občanů,25,Ambrož Vladimír Ing.,34,Svobodní,BEZPP,503,"2,11",-,-
9,Koruna Česká (monarch.strana),14,Anderle Jiří,50,KČ,BEZPP,128,"2,92",-,-
9,Koruna Česká (monarch.strana),27,Anderlová Lucie,28,KČ,BEZPP,129,"2,94",-,-
1,Křesť.demokr.unie-Čs.str.lid.,20,Andree Kamil JUDr.,43,KDU-ČSL,BEZPP,2 410,"2,27",15,-
9,Koruna Česká (monarch.strana),3,Andrš Pavel MUDr.,50,KČ,KČ,358,"8,17",-,-
10,Strana Práv Občanů,1,Augustin Radek Mgr.,37,SPO,SPO,436,"8,02",-,-
10,Strana Práv Občanů,21,Augustinová Miluše,63,SPO,SPO,142,"2,61",-,-
9,Koruna Česká (monarch.strana),5,Bačovský Jaroslav doc. MUDr. CSc.,60,KČ,BEZPP,250,"5,71",-,-
14,Úsvit přímé demokracie,34,Bahounková Eva,38,Úsvit,BEZPP,471,"2,04",-,-
11,Občané pro Olomouc,43,Balarinová Michaela Mgr.,31,Zelení,BEZPP,1 342,"1,72",40,-
8,Občanská demokratická strana,22,Banková Jaromíra MUDr.,63,ODS,ODS,2 497,"2,12",17,-
2,Strana svobodných občanů,26,Bartoněk Michal,36,Svobodní,BEZPP,509,"2,14",-,-
4,Patrioti PRO Olomouc,36,Baštan Zdenek,30,NK,BEZPP,237,"1,77",-,-
1,Křesť.demokr.unie-Čs.str.lid.,18,Batlová Noemi Ing.,56,KDU-ČSL,BEZPP,2 362,"2,23",13,-
5,Česká str.sociálně demokrat.,17,Bednář Jan Ing.,59,ČSSD,ČSSD,4 475,"2,24",7,-
11,Občané pro Olomouc,2,Bednařík Pavel Mgr.,34,Zelení,Zelení,2 229,"2,85",3,*
12,Komunistická str.Čech a Moravy,4,Behro Miroslav,36,KSČM,KSČM,2 237,"2,36",4,*
13,ANO 2011,40,Bendová Jarmila,62,ANO,BEZPP,5 068,"2,03",28,-
12,Komunistická str.Čech a Moravy,22,Bergerová Věra,58,KSČM,BEZPP,2 071,"2,19",18,-
10,Strana Práv Občanů,15,Bieberle Josef doc. PhDr. CSc.,85,SPO,SPO,183,"3,37",-,-
10,Strana Práv Občanů,23,Bieganská Kateřina,19,SPO,BEZPP,127,"2,33",-,-
10,Strana Práv Občanů,11,Bieganská Veronika,22,SPO,BEZPP,155,"2,85",-,-
7,TOP 09,33,Bláha Rudolf RNDr.,75,TOP 09,TOP 09,2 003,"2,03",29,-
7,TOP 09,12,Blaťák Zdeněk Ing.,39,TOP 09,TOP 09,2 300,"2,33",10,-
14,Úsvit přímé demokracie,33,Bočánková Tereza,21,Úsvit,BEZPP,462,"2,01",-,-
