navrhujícístrana,politickápříslušnost,pořadízvolení/náhradníka,mandát,číslo,název,poř.číslo,"příjmení, jméno, tituly",věk,abs.,v %


11,ProOlomouc,20,Ada Johnová Magda MgA. et MgA.,40,ProOl,ProOl,3 491,"2,23",14,-
8,ANO 2011,21,Adamíková Alena PhDr.,61,ANO,ANO,7 775,"2,25",7,-
10,"SPR-REP.STR.ČECH,MORAVY,SLEZ.",35,Alka Ladislav,62,SPR-RSČMS,BEZPP,61,"2,65",-,-
3,SPD T.OKAMURA a SPO ZEMANOVCI,3,Alt David Ing.,36,SPD,SPD,1 761,"2,44",3,*
15,Moravské zemské hnutí,10,Anderle Jiří,54,MZH,BEZPP,60,"3,19",-,-
15,Moravské zemské hnutí,22,Anderlová Lucie,32,MZH,BEZPP,61,"3,24",-,-
1,Křesť.demokr.unie-Čs.str.lid.,11,Andree Kamil JUDr.,47,KDU-ČSL,BEZPP,2 224,"2,32",8,-
15,Moravské zemské hnutí,6,Andrš Pavel MUDr.,54,MZH,Monarchiste.cz,152,"8,09",-,-
15,Moravské zemské hnutí,21,Andrš Václav,21,MZH,BEZPP,69,"3,67",-,-
12,PIRÁTI A STAROSTOVÉ,44,Antonyová Pavlína,53,STAN,BEZPP,2 772,"1,79",38,-
3,SPD T.OKAMURA a SPO ZEMANOVCI,10,Augustinová Miluše,67,SPOZ,SPOZ,1 609,"2,23",7,-
13,spOLečně,5,Bačák Otakar Ing.,51,spOL,spOL,1 880,"2,45",5,-
15,Moravské zemské hnutí,4,Bačovský Jaroslav doc. MUDr. CSc.,64,MZH,BEZPP,161,"8,57",-,-
12,PIRÁTI A STAROSTOVÉ,35,Bajnar David,40,Piráti,BEZPP,3 258,"2,11",29,-
5,TOP 09 a nezávislí,25,Baláček Václav,44,TOP 09,TOP 09,1 191,"2,10",-,-
6,NAŠE KRÁSNÁ OLOMOUC,3,Baláš Ivo Bc.,44,ODA,ODA,442,"2,53",-,-
6,NAŠE KRÁSNÁ OLOMOUC,18,Baláš Josef,56,NK,BEZPP,368,"2,11",-,-
3,SPD T.OKAMURA a SPO ZEMANOVCI,11,Balcárek Jan Bc.,36,SPD,SPD,1 669,"2,31",8,-
14,Občanská demokratická strana,14,Banková Jaromíra MUDr.,67,ODS,ODS,3 178,"2,25",9,-
6,NAŠE KRÁSNÁ OLOMOUC,17,Bárta František,67,NK,BEZPP,363,"2,08",-,-
1,Křesť.demokr.unie-Čs.str.lid.,35,Batlová Noemi Ing.,60,KDU-ČSL,BEZPP,2 007,"2,09",31,-
16,Česká str.sociálně demokrat.,28,Bednář Jan Ing.,63,ČSSD,ČSSD,1 394,"2,15",26,-
12,PIRÁTI A STAROSTOVÉ,13,Bednařík Jan,32,Piráti,Piráti,3 547,"2,29",7,-
2,Strana zelených,6,Bednařík Pavel Mgr.,38,Zelení,Zelení,644,"2,59",-,-
12,PIRÁTI A STAROSTOVÉ,11,Bednařík Vlastimil Ing.,59,Piráti,Piráti,3 640,"2,35",5,-
4,Komunistická str.Čech a Moravy,4,Behro Miroslav,40,KSČM,KSČM,1 647,"2,40",3,-
