nazev,hlasy abs,hlasy %,zastupitele abs,zastupitele %


Křesťanská a demokratická unie - Československá strana lidová,20 192,"8,35",4,"8,89"
Strana zelených,16 581,"6,85",1,"2,22"
Česká strana sociálně demokratická,59 673,"24,66",14,"31,11"
Komunistická strana Čech a Moravy,27 257,"11,27",5,"11,11"
Občanská demokratická strana,88 178,"36,44",21,"46,67"
Moravané,878,"0,36",0,"0,00"
Republikáni Miroslava Sládka,593,"0,25",0,"0,00"
NEZÁVISLÍ DEMOKRATÉ,2 566,"1,06",0,"0,00"
"Sdružení NV, NK",14 044,"5,80",0,"0,00"
"Koalice SOS, SNK ED, Z",11 997,"4,96",0,"0,00"
