cislo,nazev,hlasy abs,hlasy %,pocet kandidatu,prepocteny zaklad,zastupitele %,zastupitele abs,podily hlasu


1,Křesť.demokr.unie-Čs.str.lid.,105 765,"9,93",45,"1 064 812,00","9,93",5,X
2,Strana svobodných občanů,23 753,"2,23",45,"1 064 812,00","2,23",0,-
3,"REPUBL.STR.ČECH,MORAVY A SLEZ.",3 881,"0,36",45,"1 064 812,00","0,36",0,-
4,Patrioti PRO Olomouc,13 356,"1,25",45,"1 064 812,00","1,25",0,-
5,Česká str.sociálně demokrat.,198 961,"18,69",45,"1 064 812,00","18,68",10,X
6,ProOlomouc,48 545,"4,56",30,"709 874,66","6,83",2,X
7,TOP 09,98 483,"9,25",45,"1 064 812,00","9,24",4,X
8,Občanská demokratická strana,117 633,"11,05",45,"1 064 812,00","11,04",5,X
9,Koruna Česká (monarch.strana),4 378,"0,41",27,"638 887,20","0,68",0,-
10,Strana Práv Občanů,5 430,"0,51",30,"709 874,66","0,76",0,-
11,Občané pro Olomouc,77 950,"7,32",45,"1 064 812,00","7,32",3,X
12,Komunistická str.Čech a Moravy,94 429,"8,87",45,"1 064 812,00","8,86",4,X
13,ANO 2011,249 270,"23,41",45,"1 064 812,00","23,40",12,X
14,Úsvit přímé demokracie,22 978,"2,16",45,"1 064 812,00","2,15",0,-
