,0
0,1
1,1
2,1
3,0
4,1
5,0
6,1
7,0
8,0
9,0
10,0
11,1
12,1
13,1
14,1
15,1
16,0
17,0
18,1
19,0
20,1
21,1
22,1
23,1
24,1
25,0
26,1
27,0
28,1
29,1
30,0
31,1
32,1
33,1
34,1
35,0
36,1
37,0
38,0
39,1
40,1
41,1
42,0
43,1
44,0
45,1
46,0
47,1
48,1
49,0
50,0
51,0
52,1
53,0
54,0
55,0
56,0
57,0
58,0
59,1
60,1
61,0
62,0
63,1
64,1
65,0
66,1
67,0
68,0
69,1
70,1
71,1
72,0
73,1
74,1
75,0
76,0
77,0
78,1
79,0
80,0
81,1
82,0
83,0
84,0
85,0
86,1
87,0
88,0
89,0
90,1
91,0
92,0
93,1
94,0
95,0
96,1
97,1
98,1
99,1
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,1
108,0
109,1
110,0
111,1
112,1
113,0
114,1
115,1
116,1
117,0
118,1
119,1
120,1
121,1
122,0
123,0
124,1
125,0
126,1
127,0
128,1
129,1
130,0
131,1
132,0
133,1
134,1
135,1
136,0
137,0
138,0
139,1
140,1
141,1
142,0
143,0
144,0
145,1
146,0
147,0
148,0
149,1
150,0
151,0
152,1
153,1
154,0
155,0
156,0
157,1
158,0
159,0
160,1
161,1
162,1
163,0
164,1
165,1
166,1
167,1
168,1
169,0
170,0
171,0
172,1
173,0
174,0
175,0
176,1
177,1
178,1
179,0
180,0
181,0
182,0
183,0
184,0
185,1
186,0
187,1
188,0
189,0
190,1
191,1
192,0
193,0
194,0
195,1
196,0
197,0
198,1
199,0
200,1
201,1
202,1
203,1
204,1
205,1
206,0
207,1
208,1
209,1
210,0
211,0
212,1
213,1
214,1
215,1
216,1
217,0
218,1
219,0
220,0
221,0
222,1
223,0
224,1
225,1
226,0
227,1
228,0
229,0
230,0
231,1
232,0
233,0
234,1
235,0
236,1
237,0
238,0
239,0
240,1
241,1
242,0
243,1
244,1
245,0
246,1
247,1
248,0
249,1
250,0
251,1
252,0
253,0
254,0
255,0
256,0
257,0
258,1
259,0
260,0
261,1
262,1
263,0
264,0
265,0
266,0
267,1
268,0
269,1
270,1
271,0
272,0
273,1
274,1
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,1
283,0
284,1
285,1
286,1
287,1
288,1
289,0
290,0
291,0
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,0
300,0
301,1
302,1
303,0
304,0
305,1
306,1
307,1
308,0
